Reprinted from Journal of Biomechanics 29, P.F. Vint & R.N. Hinrichs, Endpoint error in smoothing
and differentiating raw kinematic data: An evaluation of four popular methods, pp. 1637-1642,
Copyright (1996), with permission from Elsevier Science.

Time		Raw		Noisy		Accel
------------------------------------------
0.0000	0.1517	0.1458	0.0000
0.0201	0.1492	0.1509	0.0000
0.0402	0.1524	0.1575	3.0221
0.0603	0.1576	0.1427	7.1397
0.0804	0.1635	0.1714	10.0329
0.1005	0.1744	0.1731	11.2559
0.1206	0.1937	0.1930	10.3661
0.1407	0.2126	0.2097	8.3941
0.1608	0.2288	0.2356	5.4586
0.1809	0.2552	0.2637	3.9121
0.2010	0.2833	0.2816	6.9002
0.2211	0.3125	0.3121	11.8463
0.2412	0.3463	0.3480	13.1885
0.2613	0.3879	0.3904	13.6488
0.2814	0.4324	0.4242	14.0208
0.3015	0.4825	0.4815	12.0132
0.3216	0.5358	0.5402	5.5654
0.3417	0.5928	0.5954	0.0069
0.3618	0.6446	0.6370	0.3641
0.3819	0.6966	0.6885	1.5719
0.4020	0.7530	0.7427	2.1317
0.4221	0.8116	0.8050	3.7727
0.4422	0.8639	0.8624	6.7221
0.4623	0.9251	0.9323	9.1319
0.4824	0.9865	0.9806	8.2096
0.5025	1.0494	1.0501	6.7036
0.5226	1.1175	1.1193	6.9231
0.5427	1.1893	1.1841	7.8175
0.5628	1.2610	1.2583	5.9401
0.5829	1.3333	1.3459	2.2294
0.6030	1.4078	1.4078	-0.8388
0.6231	1.4778	1.4811	-3.3770
0.6432	1.5505	1.5445	-4.3438
0.6633	1.6178	1.6084	-4.5612
0.6834	1.6855	1.6825	-4.7513
0.7035	1.7481	1.7430	-5.1941
0.7236	1.8074	1.8056	-5.4091
0.7437	1.8658	1.8578	-5.8552
0.7638	1.9245	1.9353	-6.8748
0.7839	1.9792	1.9800	-8.7070
0.8040	2.0339	2.0374	-12.7041
0.8241	2.0724	2.0685	-14.2113
0.8442	2.1126	2.1042	-15.7212
0.8643	2.1452	2.1454	-16.8054
0.8844	2.1701	2.1682	-17.0763
0.9045	2.1844	2.1889	-16.8098
0.9246	2.2012	2.2148	-17.3823
0.9447	2.2047	2.2083	-18.0002
0.9648	2.2021	2.2075	-16.0863
0.9849	2.1940	2.1963	-13.5466
1.0050	2.1824	2.1792	-12.8567
1.0251	2.1634	2.1676	-11.7014
1.0452	2.1433	2.1447	-12.5057
1.0653	2.1116	2.1102	-12.3400
1.0854	2.0795	2.0811	-12.0316
1.1055	2.0427	2.0507	-12.0719
1.1256	1.9985	2.0074	-11.6754
1.1457	1.9519	1.9517	-11.5053
1.1658	1.9000	1.8948	-11.6477
1.1859	1.8442	1.8380	-11.0592
1.2060	1.7810	1.7831	-9.0157
1.2261	1.7189	1.7264	-7.0292
1.2462	1.6515	1.6599	-5.9946
1.2663	1.5813	1.5845	-4.8061
1.2864	1.5132	1.5161	-3.1786
1.3065	1.4401	1.4510	-1.5880
1.3266	1.3710	1.3744	0.1245
1.3467	1.2987	1.2980	2.6354
1.3668	1.2265	1.2351	5.0069
1.3869	1.1594	1.1523	5.4394
1.4070	1.0909	1.0863	5.2150
1.4271	1.0255	1.0287	6.0321
1.4472	0.9630	0.9668	7.6032
1.4673	0.9033	0.9019	6.5306
1.4874	0.8488	0.8474	6.0740
1.5075	0.7928	0.7965	5.6382
1.5276	0.7359	0.7364	6.8504
1.5477	0.6853	0.6893	7.3479
1.5678	0.6370	0.6387	9.3425
1.5879	0.5913	0.5947	9.8927
1.6080	0.5533	0.5533	8.7372
1.6281	0.5207	0.5216	8.0801
1.6482	0.4856	0.4897	8.6690
1.6683	0.4531	0.4536	8.7642
1.6884	0.4276	0.4250	7.9082
1.7085	0.4055	0.4077	7.9724
1.7286	0.3856	0.3842	9.9837
1.7487	0.3698	0.3629	13.8321
1.7688	0.3665	0.3695	18.3173
1.7889	0.3648	0.3671	24.7846
1.8090	0.3835	0.3671	36.8281
1.8291	0.4091	0.4053	45.9046
1.8492	0.4622	0.4659	55.9493
1.8693	0.5367	0.5460	63.1218
1.8894	0.6447	0.6375	68.3515
1.9095	0.7663	0.7571	63.7493
1.9296	0.9091	0.9140	48.4565
1.9497	1.0680	1.0704	18.9879
1.9698	1.2216	1.2246	-5.7848
1.9899	1.3753	1.3675	-20.4538
2.0100	1.5169	1.5081	-46.4395
2.0301	1.6317	1.6388	-67.9201
2.0502	1.7246	1.7404	-85.8038
2.0703	1.7819	1.7738	-96.0019
2.0904	1.8011	1.8075	-91.5508
2.1105	1.7825	1.7801	-72.8745
